                 spacepy  spacepy-irbem     spiceypy1     spiceypy2     sunpy      pyspedas  |max-min|
2010-01-01  7.977197e-04      -0.000125 -2.136118e-06 -2.136118e-06  0.000743 -2.425839e-09   0.000923
2010-01-02  8.103670e-04      -0.000109  3.961058e-05  3.961058e-05  0.000797 -2.585423e-09   0.000920
2010-01-03  8.266497e-04      -0.000093  7.978868e-05  7.978868e-05  0.000853 -2.745686e-09   0.000946
2010-01-04  8.418699e-04      -0.000075  1.158817e-04  1.158817e-04  0.000904 -2.906411e-09   0.000979
2010-01-05  8.519956e-04      -0.000055  1.457795e-04  1.457795e-04  0.000944 -3.067406e-09   0.001000
2010-01-06  8.549236e-04      -0.000035  1.679459e-04  1.679459e-04  0.000969 -3.228436e-09   0.001004
2010-01-07  8.507951e-04      -0.000013  1.814804e-04  1.814804e-04  0.000979 -3.389335e-09   0.000992
2010-01-08  8.414696e-04       0.000010  1.860943e-04  1.860943e-04  0.000974 -3.549868e-09   0.000974
2010-01-09  8.296488e-04       0.000035  1.820345e-04  1.820345e-04  0.000959 -3.709861e-09   0.000959
2010-01-10  8.181123e-04       0.000060  1.699886e-04  1.699886e-04  0.000935 -3.869062e-09   0.000935
2010-01-11  8.092315e-04       0.000087  1.509889e-04  1.509889e-04  0.000907 -4.027324e-09   0.000907
2010-01-12  8.046943e-04       0.000115  1.263236e-04  1.263236e-04  0.000878 -4.184400e-09   0.000878
2010-01-13  8.053460e-04       0.000144  9.745809e-05  9.745809e-05  0.000850 -4.340105e-09   0.000850
2010-01-14  8.111427e-04       0.000173  6.596183e-05  6.596183e-05  0.000824 -4.494275e-09   0.000824
2010-01-15  8.212487e-04       0.000204  3.344199e-05  3.344199e-05  0.000802 -4.646651e-09   0.000821
2010-01-16  8.342493e-04       0.000236  1.481178e-06  1.481178e-06  0.000783 -4.797091e-09   0.000834
2010-01-17  8.483956e-04       0.000269 -2.841884e-05 -2.841884e-05  0.000767 -4.945342e-09   0.000877
2010-01-18  8.618254e-04       0.000302 -5.488632e-05 -5.488632e-05  0.000754 -5.091309e-09   0.000917
2010-01-19  8.727776e-04       0.000337 -7.672053e-05 -7.672053e-05  0.000743 -5.234725e-09   0.000949
2010-01-20  8.798276e-04       0.000372 -9.292487e-05 -9.292487e-05  0.000734 -5.375458e-09   0.000973
2010-01-21  8.821126e-04       0.000408 -1.027339e-04 -1.027339e-04  0.000727 -5.513318e-09   0.000985
2010-01-22  8.794774e-04       0.000445 -1.056374e-04 -1.056374e-04  0.000721 -5.648083e-09   0.000985
2010-01-23  8.725327e-04       0.000482 -1.014057e-04 -1.014057e-04  0.000718 -5.779668e-09   0.000974
2010-01-24  8.626905e-04       0.000520 -9.011869e-05 -9.011869e-05  0.000720 -5.907850e-09   0.000953
