            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   2.631260e-13  2.631427e-13   2.631255e-13  2.631280e-13  2.631280e-13  2.631330e-13  2.631260e-13
2010-01-02   2.637450e-13  2.637615e-13   2.637447e-13  2.637468e-13  2.637468e-13  2.637519e-13  2.637450e-13
2010-01-03   2.643477e-13  2.643639e-13   2.643474e-13  2.643494e-13  2.643494e-13  2.643544e-13  2.643477e-13
2010-01-04   2.649338e-13  2.649497e-13   2.649336e-13  2.649353e-13  2.649353e-13  2.649404e-13  2.649338e-13
2010-01-05   2.655032e-13  2.655187e-13   2.655030e-13  2.655045e-13  2.655045e-13  2.655096e-13  2.655032e-13
2010-01-06   2.660555e-13  2.660707e-13   2.660555e-13  2.660568e-13  2.660568e-13  2.660618e-13  2.660555e-13
2010-01-07   2.665907e-13  2.666055e-13   2.665908e-13  2.665920e-13  2.665920e-13  2.665969e-13  2.665907e-13
2010-01-08   2.671086e-13  2.671230e-13   2.671087e-13  2.671099e-13  2.671099e-13  2.671147e-13  2.671086e-13
2010-01-09   2.676091e-13  2.676230e-13   2.676092e-13  2.676103e-13  2.676103e-13  2.676150e-13  2.676091e-13
2010-01-10   2.680918e-13  2.681054e-13   2.680921e-13  2.680930e-13  2.680930e-13  2.680977e-13  2.680918e-13
2010-01-11   2.685568e-13  2.685699e-13   2.685571e-13  2.685580e-13  2.685580e-13  2.685625e-13  2.685568e-13
2010-01-12   2.690038e-13  2.690165e-13   2.690042e-13  2.690050e-13  2.690050e-13  2.690095e-13  2.690038e-13
2010-01-13   2.694328e-13  2.694451e-13   2.694333e-13  2.694340e-13  2.694340e-13  2.694384e-13  2.694328e-13
2010-01-14   2.698435e-13  2.698554e-13   2.698440e-13  2.698447e-13  2.698447e-13  2.698491e-13  2.698435e-13
2010-01-15   2.702358e-13  2.702474e-13   2.702365e-13  2.702370e-13  2.702370e-13  2.702414e-13  2.702358e-13
2010-01-16   2.706097e-13  2.706209e-13   2.706104e-13  2.706109e-13  2.706109e-13  2.706152e-13  2.706097e-13
2010-01-17   2.709650e-13  2.709759e-13   2.709658e-13  2.709661e-13  2.709661e-13  2.709705e-13  2.709650e-13
2010-01-18   2.713016e-13  2.713121e-13   2.713025e-13  2.713027e-13  2.713027e-13  2.713070e-13  2.713016e-13
2010-01-19   2.716194e-13  2.716295e-13   2.716204e-13  2.716204e-13  2.716204e-13  2.716247e-13  2.716194e-13
2010-01-20   2.719183e-13  2.719280e-13   2.719193e-13  2.719193e-13  2.719193e-13  2.719235e-13  2.719183e-13
2010-01-21   2.721983e-13  2.722075e-13   2.721993e-13  2.721991e-13  2.721991e-13  2.722033e-13  2.721983e-13
2010-01-22   2.724591e-13  2.724679e-13   2.724603e-13  2.724599e-13  2.724599e-13  2.724640e-13  2.724591e-13
2010-01-23   2.727008e-13  2.727092e-13   2.727021e-13  2.727016e-13  2.727016e-13  2.727055e-13  2.727008e-13
2010-01-24   2.729234e-13  2.729312e-13   2.729247e-13  2.729240e-13  2.729240e-13  2.729279e-13  2.729234e-13
2010-01-25   2.731266e-13  2.731340e-13   2.731280e-13  2.731272e-13  2.731272e-13  2.731310e-13  2.731266e-13
2010-01-26   2.733105e-13  2.733175e-13   2.733120e-13  2.733111e-13  2.733111e-13  2.733147e-13  2.733105e-13
2010-01-27   2.734751e-13  2.734816e-13   2.734766e-13  2.734757e-13  2.734757e-13  2.734792e-13  2.734751e-13
2010-01-28   2.736203e-13  2.736263e-13   2.736218e-13  2.736208e-13  2.736208e-13  2.736243e-13  2.736203e-13
2010-01-29   2.737460e-13  2.737516e-13   2.737476e-13  2.737465e-13  2.737465e-13  2.737499e-13  2.737460e-13
2010-01-30   2.738522e-13  2.738575e-13   2.738539e-13  2.738528e-13  2.738528e-13  2.738562e-13  2.738522e-13
2010-01-31   2.739390e-13  2.739439e-13   2.739408e-13  2.739395e-13  2.739395e-13  2.739429e-13  2.739390e-13
2010-02-01   2.740063e-13  2.740108e-13   2.740081e-13  2.740068e-13  2.740068e-13  2.740102e-13  2.740063e-13
2010-02-02   2.740540e-13  2.740582e-13   2.740559e-13  2.740546e-13  2.740546e-13  2.740579e-13  2.740540e-13
2010-02-03   2.740823e-13  2.740860e-13   2.740843e-13  2.740829e-13  2.740829e-13  2.740861e-13  2.740823e-13
2010-02-04   2.740910e-13  2.740944e-13   2.740931e-13  2.740916e-13  2.740916e-13  2.740947e-13  2.740910e-13
2010-02-05   2.740803e-13  2.740832e-13   2.740824e-13  2.740809e-13  2.740809e-13  2.740839e-13  2.740803e-13
2010-02-06   2.740502e-13  2.740526e-13   2.740523e-13  2.740507e-13  2.740507e-13  2.740535e-13  2.740502e-13
