                 spacepy  spacepy-irbem  spiceypy1     spiceypy2         sunpy      pyspedas  |max-min|
2010-01-01 -1.496277e-03      -0.012074   0.000410 -1.635443e-03  4.913159e-04 -1.546859e-07   0.012566
2010-01-02 -1.669906e-03      -0.012047   0.000456 -1.599595e-03  5.508022e-04 -1.744316e-07   0.012598
2010-01-03 -1.835839e-03      -0.012021   0.000505 -1.560688e-03  6.171835e-04 -1.940169e-07   0.012638
2010-01-04 -1.996742e-03      -0.011997   0.000553 -1.523405e-03  6.819959e-04 -2.134304e-07   0.012679
2010-01-05 -2.156149e-03      -0.011975   0.000595 -1.492307e-03  7.371132e-04 -2.326566e-07   0.012712
2010-01-06 -2.317133e-03      -0.011955   0.000627 -1.471414e-03  7.762770e-04 -2.516839e-07   0.012731
2010-01-07 -2.481413e-03      -0.011937   0.000646 -1.463924e-03  7.956302e-04 -2.704998e-07   0.012732
2010-01-08 -2.649180e-03      -0.011920   0.000650 -1.472085e-03  7.936769e-04 -2.890917e-07   0.012714
2010-01-09 -2.819436e-03      -0.011906   0.000637 -1.497170e-03  7.709899e-04 -3.074473e-07   0.012677
2010-01-10 -2.990465e-03      -0.011893   0.000608 -1.539518e-03  7.294320e-04 -3.255542e-07   0.012623
2010-01-11 -3.160236e-03      -0.011882   0.000562 -1.598606e-03  6.714612e-04 -3.434005e-07   0.012554
2010-01-12 -3.326710e-03      -0.011874   0.000502 -1.673131e-03  5.999400e-04 -3.609739e-07   0.012474
2010-01-13 -3.488096e-03      -0.011867   0.000428 -1.761094e-03  5.181193e-04 -3.782625e-07   0.012385
2010-01-14 -3.643045e-03      -0.011862   0.000344 -1.859896e-03  4.292575e-04 -3.952546e-07   0.012292
2010-01-15 -3.790747e-03      -0.011860   0.000253 -1.966443e-03  3.364102e-04 -4.119383e-07   0.012196
2010-01-16 -3.930944e-03      -0.011859   0.000157 -2.077254e-03  2.424422e-04 -4.283019e-07   0.012102
2010-01-17 -4.063910e-03      -0.011861   0.000062 -2.188582e-03  1.499718e-04 -4.443337e-07   0.012011
2010-01-18 -4.190401e-03      -0.011865  -0.000029 -2.296537e-03  6.152741e-05 -4.600221e-07   0.011927
2010-01-19 -4.311536e-03      -0.011871  -0.000112 -2.397200e-03 -2.042532e-05 -4.753553e-07   0.011871
2010-01-20 -4.428649e-03      -0.011880  -0.000184 -2.486742e-03 -9.351201e-05 -4.903217e-07   0.011880
2010-01-21 -4.543130e-03      -0.011890  -0.000240 -2.561533e-03 -1.554002e-04 -5.049096e-07   0.011890
2010-01-22 -4.656304e-03      -0.011904  -0.000277 -2.618263e-03 -2.037775e-04 -5.191070e-07   0.011904
2010-01-23 -4.769301e-03      -0.011919  -0.000293 -2.654079e-03 -2.362795e-04 -5.329021e-07   0.011919
2010-01-24 -4.882858e-03      -0.011937  -0.000285 -2.666763e-03 -2.504833e-04 -5.462827e-07   0.011937
2010-01-25 -4.997050e-03      -0.011958  -0.000252 -2.654957e-03 -2.440158e-04 -5.592363e-07   0.011958
2010-01-26 -5.110985e-03      -0.011981  -0.000194 -2.618440e-03 -2.148655e-04 -5.717504e-07   0.011981
2010-01-27 -5.222601e-03      -0.012008  -0.000111 -2.558425e-03 -1.617739e-04 -5.838121e-07   0.012008
2010-01-28 -5.328790e-03      -0.012036  -0.000007 -2.477815e-03 -8.490441e-05 -5.954081e-07   0.012036
2010-01-29 -5.426045e-03      -0.012068   0.000114 -2.381314e-03  1.332554e-05 -6.065247e-07   0.012182
2010-01-30 -5.511576e-03      -0.012103   0.000245 -2.275254e-03  1.275127e-04 -6.171477e-07   0.012347
2010-01-31 -5.584422e-03      -0.012140   0.000379 -2.167087e-03  2.488779e-04 -6.272623e-07   0.012519
2010-02-01 -5.645893e-03      -0.012181   0.000508 -2.064597e-03  3.664038e-04 -6.368532e-07   0.012689
2010-02-02 -5.698986e-03      -0.012224   0.000626 -1.975027e-03  4.691871e-04 -6.459044e-07   0.012850
2010-02-03 -5.747105e-03      -0.012271   0.000725 -1.904356e-03  5.485100e-04 -6.543990e-07   0.012997
2010-02-04 -5.792839e-03      -0.012321   0.000803 -1.856882e-03  5.989806e-04 -6.623193e-07   0.013124
2010-02-05 -5.837377e-03      -0.012375   0.000856 -1.835126e-03  6.184792e-04 -6.696465e-07   0.013230
2010-02-06 -5.880619e-03      -0.012432   0.000883 -1.839966e-03  6.075349e-04 -6.763628e-07   0.013314
