            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   2.759426e-13  2.759366e-13   2.758742e-13  2.759456e-13  2.759340e-13  2.759440e-13  2.759426e-13
2010-01-02   2.757068e-13  2.757002e-13   2.756388e-13  2.757099e-13  2.756983e-13  2.757084e-13  2.757068e-13
2010-01-03   2.754488e-13  2.754417e-13   2.753812e-13  2.754520e-13  2.754404e-13  2.754506e-13  2.754488e-13
2010-01-04   2.751689e-13  2.751613e-13   2.751017e-13  2.751722e-13  2.751606e-13  2.751709e-13  2.751689e-13
2010-01-05   2.748673e-13  2.748592e-13   2.748005e-13  2.748707e-13  2.748591e-13  2.748694e-13  2.748673e-13
2010-01-06   2.745444e-13  2.745357e-13   2.744779e-13  2.745479e-13  2.745362e-13  2.745466e-13  2.745444e-13
2010-01-07   2.742003e-13  2.741912e-13   2.741343e-13  2.742039e-13  2.741922e-13  2.742026e-13  2.742003e-13
2010-01-08   2.738356e-13  2.738259e-13   2.737700e-13  2.738391e-13  2.738274e-13  2.738378e-13  2.738356e-13
2010-01-09   2.734504e-13  2.734403e-13   2.733852e-13  2.734539e-13  2.734422e-13  2.734526e-13  2.734504e-13
2010-01-10   2.730452e-13  2.730346e-13   2.729805e-13  2.730486e-13  2.730369e-13  2.730473e-13  2.730452e-13
2010-01-11   2.726204e-13  2.726092e-13   2.725560e-13  2.726236e-13  2.726119e-13  2.726223e-13  2.726204e-13
2010-01-12   2.721762e-13  2.721646e-13   2.721124e-13  2.721793e-13  2.721676e-13  2.721779e-13  2.721762e-13
2010-01-13   2.717133e-13  2.717011e-13   2.716498e-13  2.717161e-13  2.717044e-13  2.717147e-13  2.717133e-13
2010-01-14   2.712318e-13  2.712192e-13   2.711689e-13  2.712344e-13  2.712227e-13  2.712330e-13  2.712318e-13
2010-01-15   2.707324e-13  2.707194e-13   2.706699e-13  2.707347e-13  2.707230e-13  2.707333e-13  2.707324e-13
2010-01-16   2.702154e-13  2.702020e-13   2.701534e-13  2.702174e-13  2.702057e-13  2.702161e-13  2.702154e-13
2010-01-17   2.696813e-13  2.696675e-13   2.696197e-13  2.696831e-13  2.696714e-13  2.696817e-13  2.696813e-13
2010-01-18   2.691306e-13  2.691164e-13   2.690695e-13  2.691320e-13  2.691204e-13  2.691307e-13  2.691306e-13
2010-01-19   2.685637e-13  2.685492e-13   2.685030e-13  2.685649e-13  2.685532e-13  2.685636e-13  2.685637e-13
2010-01-20   2.679811e-13  2.679663e-13   2.679210e-13  2.679821e-13  2.679704e-13  2.679808e-13  2.679811e-13
2010-01-21   2.673834e-13  2.673683e-13   2.673237e-13  2.673842e-13  2.673725e-13  2.673828e-13  2.673834e-13
2010-01-22   2.667709e-13  2.667555e-13   2.667117e-13  2.667716e-13  2.667600e-13  2.667702e-13  2.667709e-13
2010-01-23   2.661443e-13  2.661286e-13   2.660855e-13  2.661449e-13  2.661333e-13  2.661435e-13  2.661443e-13
2010-01-24   2.655039e-13  2.654880e-13   2.654457e-13  2.655046e-13  2.654930e-13  2.655031e-13  2.655039e-13
2010-01-25   2.648504e-13  2.648342e-13   2.647927e-13  2.648512e-13  2.648396e-13  2.648496e-13  2.648504e-13
2010-01-26   2.641843e-13  2.641678e-13   2.641270e-13  2.641851e-13  2.641736e-13  2.641836e-13  2.641843e-13
2010-01-27   2.635060e-13  2.634892e-13   2.634492e-13  2.635071e-13  2.634955e-13  2.635054e-13  2.635059e-13
2010-01-28   2.628160e-13  2.627990e-13   2.627597e-13  2.628174e-13  2.628058e-13  2.628157e-13  2.628160e-13
2010-01-29   2.621149e-13  2.620977e-13   2.620591e-13  2.621167e-13  2.621051e-13  2.621149e-13  2.621149e-13
2010-01-30   2.614033e-13  2.613858e-13   2.613480e-13  2.614054e-13  2.613939e-13  2.614036e-13  2.614033e-13
2010-01-31   2.606816e-13  2.606639e-13   2.606267e-13  2.606840e-13  2.606725e-13  2.606822e-13  2.606815e-13
2010-02-01   2.599502e-13  2.599325e-13   2.598959e-13  2.599530e-13  2.599416e-13  2.599512e-13  2.599502e-13
2010-02-02   2.592099e-13  2.591920e-13   2.591561e-13  2.592130e-13  2.592015e-13  2.592111e-13  2.592099e-13
2010-02-03   2.584610e-13  2.584430e-13   2.584076e-13  2.584643e-13  2.584529e-13  2.584624e-13  2.584610e-13
2010-02-04   2.577040e-13  2.576860e-13   2.576512e-13  2.577076e-13  2.576962e-13  2.577056e-13  2.577040e-13
2010-02-05   2.569395e-13  2.569214e-13   2.568872e-13  2.569432e-13  2.569318e-13  2.569412e-13  2.569395e-13
2010-02-06   2.561679e-13  2.561498e-13   2.561161e-13  2.561717e-13  2.561603e-13  2.561696e-13  2.561679e-13
2010-02-07   2.553898e-13  2.553716e-13   2.553384e-13  2.553935e-13  2.553822e-13  2.553913e-13  2.553898e-13
2010-02-08   2.546056e-13  2.545873e-13   2.545547e-13  2.546092e-13  2.545979e-13  2.546069e-13  2.546056e-13
2010-02-09   2.538157e-13  2.537975e-13   2.537654e-13  2.538192e-13  2.538080e-13  2.538169e-13  2.538157e-13
2010-02-10   2.530208e-13  2.530025e-13   2.529709e-13  2.530241e-13  2.530128e-13  2.530216e-13  2.530208e-13
2010-02-11   2.522211e-13  2.522028e-13   2.521718e-13  2.522242e-13  2.522130e-13  2.522216e-13  2.522211e-13
2010-02-12   2.514173e-13  2.513989e-13   2.513684e-13  2.514200e-13  2.514088e-13  2.514174e-13  2.514173e-13
2010-02-13   2.506096e-13  2.505913e-13   2.505613e-13  2.506121e-13  2.506009e-13  2.506094e-13  2.506096e-13
2010-02-14   2.497986e-13  2.497804e-13   2.497508e-13  2.498008e-13  2.497897e-13  2.497981e-13  2.497986e-13
2010-02-15   2.489847e-13  2.489666e-13   2.489373e-13  2.489866e-13  2.489755e-13  2.489839e-13  2.489847e-13
2010-02-16   2.481683e-13  2.481503e-13   2.481214e-13  2.481699e-13  2.481589e-13  2.481672e-13  2.481683e-13
2010-02-17   2.473498e-13  2.473319e-13   2.473034e-13  2.473512e-13  2.473402e-13  2.473484e-13  2.473498e-13
