            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy   pyspedas
2010-01-01      25.225879  25.224383      25.213805  25.226289  25.224244  25.226370  25.225879
2010-01-02      25.149340  25.147671      25.137294  25.149796  25.147741  25.149891  25.149340
2010-01-03      25.065686  25.063850      25.053665  25.066191  25.064125  25.066303  25.065686
2010-01-04      24.974971  24.972975      24.962974  24.975524  24.973448  24.975653  24.974971
2010-01-05      24.877257  24.875100      24.865281  24.877851  24.875764  24.877994  24.877256
2010-01-06      24.772606  24.770289      24.760651  24.773233  24.771135  24.773383  24.772606
2010-01-07      24.661091  24.658609      24.649154  24.661737  24.659627  24.661886  24.661090
2010-01-08      24.542783  24.540134      24.530863  24.543433  24.541311  24.543577  24.542783
2010-01-09      24.417763  24.414943      24.405857  24.418400  24.416266  24.418534  24.417763
2010-01-10      24.286113  24.283123      24.274220  24.286721  24.284574  24.286843  24.286113
2010-01-11      24.147922  24.144761      24.136039  24.148484  24.146323  24.148593  24.147921
2010-01-12      24.003280  23.999954      23.991407  24.003782  24.001607  24.003880  24.003280
2010-01-13      23.852286  23.848798      23.840419  23.852714  23.850525  23.852804  23.852286
2010-01-14      23.695039  23.691396      23.683177  23.695383  23.693179  23.695469  23.695039
2010-01-15      23.531645  23.527855      23.519786  23.531898  23.529679  23.531982  23.531645
2010-01-16      23.362214  23.358283      23.350354  23.362371  23.360136  23.362456  23.362213
2010-01-17      23.186857  23.182793      23.174996  23.186920  23.184669  23.187007  23.186857
2010-01-18      23.005694  23.001504      22.993829  23.005665  23.003398  23.005756  23.005694
2010-01-19      22.818846  22.814534      22.806975  22.818734  22.816449  22.818825  22.818845
2010-01-20      22.626438  22.622010      22.614559  22.626255  22.623952  22.626345  22.626438
2010-01-21      22.428602  22.424059      22.416711  22.428362  22.426040  22.428446  22.428601
2010-01-22      22.225470  22.220814      22.213566  22.225193  22.222852  22.225266  22.225469
2010-01-23      22.017181  22.012412      22.005262  22.016888  22.014527  22.016945  22.017181
2010-01-24      21.803878  21.798995      21.791941  21.803592  21.801211  21.803627  21.803877
2010-01-25      21.585707  21.580710      21.573749  21.585454  21.583052  21.585463  21.585706
2010-01-26      21.362819  21.357708      21.350837  21.362625  21.360200  21.362604  21.362818
2010-01-27      21.135368  21.130146      21.123361  21.135257  21.132810  21.135207  21.135368
2010-01-28      20.903516  20.898187      20.891480  20.903509  20.901038  20.903431  20.903515
2010-01-29      20.667426  20.662000      20.655358  20.667539  20.665044  20.667439  20.667425
2010-01-30      20.427266  20.421754      20.415163  20.427511  20.424991  20.427393  20.427265
2010-01-31      20.183211  20.177626      20.171070  20.183590  20.181043  20.183459  20.183210
2010-02-01      19.935438  19.929792      19.923258  19.935947  19.933374  19.935805  19.935438
2010-02-02      19.684133  19.678434      19.671909  19.684759  19.682158  19.684602  19.684132
2010-02-03      19.429484  19.423737      19.417213  19.430209  19.427579  19.430032  19.429483
2010-02-04      19.171686  19.165893      19.159365  19.172489  19.169829  19.172285  19.171685
2010-02-05      18.910940  18.905103      18.898565  18.911796  18.909105  18.911559  18.910940
2010-02-06      18.647454  18.641574      18.635023  18.648337  18.645614  18.648062  18.647454
2010-02-07      18.381442  18.375520      18.368950  18.382327  18.379571  18.382011  18.381441
2010-02-08      18.113125  18.107166      18.100569  18.113989  18.111199  18.113630  18.113124
2010-02-09      17.842731  17.836740      17.830108  17.843554  17.840728  17.843152  17.842730
2010-02-10      17.570498  17.564482      17.557804  17.571262  17.568399  17.570819  17.570497
2010-02-11      17.296671  17.290638      17.283902  17.297362  17.294461  17.296880  17.296670
2010-02-12      17.021505  17.015465      17.008657  17.022114  17.019174  17.021595  17.021504
2010-02-13      16.745263  16.739227      16.732333  16.745787  16.742806  16.745231  16.745263
2010-02-14      16.468222  16.462199      16.455206  16.468661  16.465637  16.468069  16.468222
2010-02-15      16.190668  16.184669      16.177562  16.191026  16.187958  16.190398  16.190667
2010-02-16      15.912899  15.906933      15.899699  15.913186  15.910073  15.912520  15.912898
2010-02-17      15.635226  15.629303      15.621928  15.635457  15.632297  15.634750  15.635225
2010-02-18      15.357975  15.352102      15.344576  15.358169  15.354961  15.357416  15.357975
2010-02-19      15.081487  15.075670      15.067983  15.081665  15.078407  15.080861  15.081486
2010-02-20      14.806116  14.800362      14.792504  14.806305  14.802995  14.805443  14.806116
2010-02-21      14.532238  14.526548      14.518513  14.532463  14.529101  14.531538  14.532237
2010-02-22      14.260241  14.254619      14.246402  14.260531  14.257115  14.259538  14.260241
