                 spacepy  spacepy-irbem  spiceypy1  spiceypy2         sunpy      pyspedas  |max-min|
2010-01-01  0.000000e+00      -0.029650  -0.000347  -0.005833  0.000000e+00  0.000000e+00   0.029650
2010-01-02 -2.222385e-08      -0.029488  -0.000334  -0.005824 -1.111802e-07  0.000000e+00   0.029488
2010-01-03 -4.444784e-08      -0.029326  -0.000321  -0.005814 -2.223609e-07 -3.552714e-14   0.029326
2010-01-04 -6.667188e-08      -0.029163  -0.000308  -0.005805 -3.335421e-07  0.000000e+00   0.029163
2010-01-05 -8.889608e-08      -0.029001  -0.000296  -0.005795 -4.447238e-07  0.000000e+00   0.029001
2010-01-06 -1.111203e-07      -0.028839  -0.000283  -0.005786 -5.559060e-07  3.552714e-14   0.028839
2010-01-07 -1.333447e-07      -0.028676  -0.000270  -0.005777 -6.670886e-07  0.000000e+00   0.028676
2010-01-08 -1.555691e-07      -0.028514  -0.000257  -0.005767 -7.782718e-07  0.000000e+00   0.028514
2010-01-09 -1.777936e-07      -0.028352  -0.000244  -0.005758 -8.894554e-07  0.000000e+00   0.028352
2010-01-10 -2.000184e-07      -0.028189  -0.000232  -0.005749 -1.000640e-06  0.000000e+00   0.028189
2010-01-11 -2.222431e-07      -0.028027  -0.000219  -0.005739 -1.111824e-06  0.000000e+00   0.028027
2010-01-12 -2.444679e-07      -0.027865  -0.000206  -0.005730 -1.223009e-06  0.000000e+00   0.027865
2010-01-13 -2.666929e-07      -0.027702  -0.000194  -0.005721 -1.334195e-06  0.000000e+00   0.027702
2010-01-14 -2.889179e-07      -0.027540  -0.000181  -0.005711 -1.445381e-06  0.000000e+00   0.027540
2010-01-15 -3.111430e-07      -0.027378  -0.000168  -0.005702 -1.556568e-06  0.000000e+00   0.027378
2010-01-16 -3.333683e-07      -0.027215  -0.000155  -0.005693 -1.667755e-06  0.000000e+00   0.027215
2010-01-17 -3.555936e-07      -0.027053  -0.000143  -0.005683 -1.778942e-06  0.000000e+00   0.027053
2010-01-18 -3.778190e-07      -0.026891  -0.000130  -0.005674 -1.890130e-06 -3.552714e-14   0.026891
2010-01-19 -4.000446e-07      -0.026728  -0.000117  -0.005665 -2.001319e-06  0.000000e+00   0.026728
2010-01-20 -4.222702e-07      -0.026566  -0.000105  -0.005655 -2.112508e-06  3.552714e-14   0.026566
