            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   1.115057e-13  1.115057e-13   1.114740e-13  1.115053e-13  1.114994e-13  1.115057e-13  1.115057e-13
2010-01-02   1.115055e-13  1.115055e-13   1.114740e-13  1.115051e-13  1.114993e-13  1.115055e-13  1.115055e-13
2010-01-03   1.115053e-13  1.115053e-13   1.114740e-13  1.115050e-13  1.114991e-13  1.115053e-13  1.115053e-13
2010-01-04   1.115052e-13  1.115052e-13   1.114740e-13  1.115048e-13  1.114989e-13  1.115052e-13  1.115052e-13
2010-01-05   1.115050e-13  1.115050e-13   1.114740e-13  1.115047e-13  1.114988e-13  1.115050e-13  1.115050e-13
2010-01-06   1.115048e-13  1.115048e-13   1.114740e-13  1.115045e-13  1.114986e-13  1.115048e-13  1.115048e-13
2010-01-07   1.115046e-13  1.115046e-13   1.114740e-13  1.115043e-13  1.114985e-13  1.115046e-13  1.115046e-13
2010-01-08   1.115045e-13  1.115045e-13   1.114740e-13  1.115042e-13  1.114983e-13  1.115045e-13  1.115045e-13
2010-01-09   1.115043e-13  1.115043e-13   1.114740e-13  1.115040e-13  1.114981e-13  1.115043e-13  1.115043e-13
2010-01-10   1.115041e-13  1.115041e-13   1.114740e-13  1.115039e-13  1.114980e-13  1.115041e-13  1.115041e-13
2010-01-11   1.115039e-13  1.115039e-13   1.114740e-13  1.115037e-13  1.114978e-13  1.115039e-13  1.115039e-13
2010-01-12   1.115038e-13  1.115038e-13   1.114740e-13  1.115035e-13  1.114976e-13  1.115038e-13  1.115038e-13
2010-01-13   1.115036e-13  1.115036e-13   1.114740e-13  1.115034e-13  1.114975e-13  1.115036e-13  1.115036e-13
2010-01-14   1.115034e-13  1.115034e-13   1.114740e-13  1.115032e-13  1.114973e-13  1.115034e-13  1.115034e-13
2010-01-15   1.115032e-13  1.115032e-13   1.114740e-13  1.115031e-13  1.114971e-13  1.115032e-13  1.115032e-13
2010-01-16   1.115031e-13  1.115031e-13   1.114740e-13  1.115029e-13  1.114970e-13  1.115031e-13  1.115031e-13
2010-01-17   1.115029e-13  1.115029e-13   1.114740e-13  1.115027e-13  1.114968e-13  1.115029e-13  1.115029e-13
2010-01-18   1.115027e-13  1.115027e-13   1.114740e-13  1.115026e-13  1.114967e-13  1.115027e-13  1.115027e-13
2010-01-19   1.115025e-13  1.115025e-13   1.114740e-13  1.115024e-13  1.114965e-13  1.115025e-13  1.115025e-13
2010-01-20   1.115024e-13  1.115024e-13   1.114740e-13  1.115023e-13  1.114963e-13  1.115024e-13  1.115024e-13
2010-01-21   1.115022e-13  1.115022e-13   1.114740e-13  1.115021e-13  1.114962e-13  1.115022e-13  1.115022e-13
2010-01-22   1.115020e-13  1.115020e-13   1.114740e-13  1.115019e-13  1.114960e-13  1.115020e-13  1.115020e-13
2010-01-23   1.115019e-13  1.115019e-13   1.114740e-13  1.115018e-13  1.114958e-13  1.115019e-13  1.115019e-13
2010-01-24   1.115017e-13  1.115017e-13   1.114740e-13  1.115016e-13  1.114957e-13  1.115017e-13  1.115017e-13
2010-01-25   1.115015e-13  1.115015e-13   1.114740e-13  1.115015e-13  1.114955e-13  1.115015e-13  1.115015e-13
2010-01-26   1.115013e-13  1.115013e-13   1.114740e-13  1.115013e-13  1.114953e-13  1.115013e-13  1.115013e-13
2010-01-27   1.115012e-13  1.115012e-13   1.114740e-13  1.115011e-13  1.114952e-13  1.115012e-13  1.115012e-13
2010-01-28   1.115010e-13  1.115010e-13   1.114740e-13  1.115010e-13  1.114950e-13  1.115010e-13  1.115010e-13
2010-01-29   1.115008e-13  1.115008e-13   1.114740e-13  1.115008e-13  1.114949e-13  1.115008e-13  1.115008e-13
2010-01-30   1.115006e-13  1.115006e-13   1.114740e-13  1.115007e-13  1.114947e-13  1.115006e-13  1.115006e-13
2010-01-31   1.115005e-13  1.115005e-13   1.114740e-13  1.115005e-13  1.114945e-13  1.115005e-13  1.115005e-13
2010-02-01   1.115003e-13  1.115003e-13   1.114740e-13  1.115003e-13  1.114944e-13  1.115003e-13  1.115003e-13
2010-02-02   1.115001e-13  1.115001e-13   1.114740e-13  1.115002e-13  1.114942e-13  1.115001e-13  1.115001e-13
2010-02-03   1.114999e-13  1.114999e-13   1.114740e-13  1.115000e-13  1.114940e-13  1.114999e-13  1.114999e-13
2010-02-04   1.114998e-13  1.114998e-13   1.114740e-13  1.114999e-13  1.114939e-13  1.114998e-13  1.114998e-13
2010-02-05   1.114996e-13  1.114996e-13   1.114740e-13  1.114997e-13  1.114937e-13  1.114996e-13  1.114996e-13
2010-02-06   1.114994e-13  1.114994e-13   1.114740e-13  1.114995e-13  1.114935e-13  1.114994e-13  1.114994e-13
2010-02-07   1.114993e-13  1.114993e-13   1.114740e-13  1.114994e-13  1.114934e-13  1.114992e-13  1.114993e-13
2010-02-08   1.114991e-13  1.114991e-13   1.114740e-13  1.114992e-13  1.114932e-13  1.114991e-13  1.114991e-13
2010-02-09   1.114989e-13  1.114989e-13   1.114740e-13  1.114991e-13  1.114931e-13  1.114989e-13  1.114989e-13
2010-02-10   1.114987e-13  1.114987e-13   1.114740e-13  1.114989e-13  1.114929e-13  1.114987e-13  1.114987e-13
2010-02-11   1.114986e-13  1.114986e-13   1.114740e-13  1.114987e-13  1.114927e-13  1.114986e-13  1.114986e-13
2010-02-12   1.114984e-13  1.114984e-13   1.114740e-13  1.114986e-13  1.114926e-13  1.114984e-13  1.114984e-13
2010-02-13   1.114982e-13  1.114982e-13   1.114740e-13  1.114984e-13  1.114924e-13  1.114982e-13  1.114982e-13
2010-02-14   1.114980e-13  1.114980e-13   1.114740e-13  1.114983e-13  1.114922e-13  1.114980e-13  1.114980e-13
2010-02-15   1.114979e-13  1.114979e-13   1.114740e-13  1.114981e-13  1.114921e-13  1.114979e-13  1.114979e-13
2010-02-16   1.114977e-13  1.114977e-13   1.114740e-13  1.114979e-13  1.114919e-13  1.114977e-13  1.114977e-13
2010-02-17   1.114975e-13  1.114975e-13   1.114740e-13  1.114978e-13  1.114917e-13  1.114975e-13  1.114975e-13
2010-02-18   1.114973e-13  1.114973e-13   1.114740e-13  1.114976e-13  1.114916e-13  1.114973e-13  1.114973e-13
2010-02-19   1.114972e-13  1.114972e-13   1.114740e-13  1.114975e-13  1.114914e-13  1.114972e-13  1.114972e-13
2010-02-20   1.114970e-13  1.114970e-13   1.114740e-13  1.114973e-13  1.114913e-13  1.114970e-13  1.114970e-13
2010-02-21   1.114968e-13  1.114968e-13   1.114740e-13  1.114971e-13  1.114911e-13  1.114968e-13  1.114968e-13
2010-02-22   1.114966e-13  1.114966e-13   1.114740e-13  1.114970e-13  1.114909e-13  1.114966e-13  1.114966e-13
2010-02-23   1.114965e-13  1.114965e-13   1.114740e-13  1.114968e-13  1.114908e-13  1.114965e-13  1.114965e-13
2010-02-24   1.114963e-13  1.114963e-13   1.114740e-13  1.114967e-13  1.114906e-13  1.114963e-13  1.114963e-13
2010-02-25   1.114961e-13  1.114961e-13   1.114740e-13  1.114965e-13  1.114904e-13  1.114961e-13  1.114961e-13
2010-02-26   1.114960e-13  1.114960e-13   1.114740e-13  1.114963e-13  1.114903e-13  1.114959e-13  1.114960e-13
2010-02-27   1.114958e-13  1.114958e-13   1.114740e-13  1.114962e-13  1.114901e-13  1.114958e-13  1.114958e-13
2010-02-28   1.114956e-13  1.114956e-13   1.114740e-13  1.114960e-13  1.114899e-13  1.114956e-13  1.114956e-13
2010-03-01   1.114954e-13  1.114954e-13   1.114740e-13  1.114959e-13  1.114898e-13  1.114954e-13  1.114954e-13
