                 spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy      pyspedas  |max-min|
2010-01-01  8.544269e-03      -0.030067   0.003000  -0.002152  0.000855  1.275033e-06   0.038611
2010-01-02  8.497214e-03      -0.029863   0.002791  -0.002370  0.000691  1.266504e-06   0.038360
2010-01-03  8.445464e-03      -0.029656   0.002597  -0.002571  0.000538  1.257543e-06   0.038102
2010-01-04  8.389108e-03      -0.029447   0.002429  -0.002746  0.000400  1.248170e-06   0.037837
2010-01-05  8.328242e-03      -0.029236   0.002292  -0.002889  0.000285  1.238381e-06   0.037565
2010-01-06  8.262968e-03      -0.029023   0.002192  -0.002995  0.000201  1.228197e-06   0.037286
2010-01-07  8.193394e-03      -0.028808   0.002130  -0.003063  0.000152  1.217630e-06   0.037001
2010-01-08  8.119635e-03      -0.028591   0.002106  -0.003091  0.000142  1.206694e-06   0.036710
2010-01-09  8.041809e-03      -0.028372   0.002118  -0.003084  0.000169  1.195401e-06   0.036413
2010-01-10  7.960042e-03      -0.028151   0.002161  -0.003044  0.000233  1.183765e-06   0.036111
2010-01-11  7.874463e-03      -0.027928   0.002232  -0.002976  0.000328  1.171799e-06   0.035802
2010-01-12  7.785206e-03      -0.027704   0.002325  -0.002886  0.000449  1.159517e-06   0.035489
2010-01-13  7.692409e-03      -0.027478   0.002434  -0.002779  0.000590  1.146931e-06   0.035170
2010-01-14  7.596213e-03      -0.027251   0.002554  -0.002661  0.000741  1.134056e-06   0.034847
2010-01-15  7.496762e-03      -0.027022   0.002678  -0.002538  0.000897  1.120904e-06   0.034519
2010-01-16  7.394203e-03      -0.026793   0.002801  -0.002415  0.001049  1.107489e-06   0.034187
2010-01-17  7.288685e-03      -0.026562   0.002917  -0.002299  0.001191  1.093824e-06   0.033851
2010-01-18  7.180361e-03      -0.026330   0.003023  -0.002193  0.001317  1.079921e-06   0.033511
2010-01-19  7.069382e-03      -0.026098   0.003112  -0.002102  0.001421  1.065796e-06   0.033167
2010-01-20  6.955902e-03      -0.025864   0.003182  -0.002031  0.001502  1.051458e-06   0.032820
2010-01-21  6.840077e-03      -0.025630   0.003230  -0.001981  0.001556  1.036922e-06   0.032470
2010-01-22  6.722061e-03      -0.025395   0.003253  -0.001955  0.001582  1.022198e-06   0.032117
2010-01-23  6.602009e-03      -0.025160   0.003250  -0.001955  0.001580  1.007300e-06   0.031762
2010-01-24  6.480077e-03      -0.024924   0.003220  -0.001982  0.001553  9.922385e-07   0.031404
