            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   4.689772e-13  4.690175e-13   4.688402e-13  4.689913e-13  4.689670e-13  4.689812e-13  4.689772e-13
2010-01-02   4.710083e-13  4.710487e-13   4.708710e-13  4.710215e-13  4.709970e-13  4.710115e-13  4.710083e-13
2010-01-03   4.730428e-13  4.730833e-13   4.729053e-13  4.730552e-13  4.730304e-13  4.730454e-13  4.730428e-13
2010-01-04   4.750797e-13  4.751203e-13   4.749421e-13  4.750914e-13  4.750664e-13  4.750816e-13  4.750797e-13
2010-01-05   4.771180e-13  4.771586e-13   4.769802e-13  4.771292e-13  4.771039e-13  4.771194e-13  4.771180e-13
2010-01-06   4.791566e-13  4.791972e-13   4.790186e-13  4.791673e-13  4.791418e-13  4.791575e-13  4.791566e-13
2010-01-07   4.811944e-13  4.812350e-13   4.810564e-13  4.812050e-13  4.811792e-13  4.811951e-13  4.811944e-13
2010-01-08   4.832304e-13  4.832710e-13   4.830923e-13  4.832409e-13  4.832150e-13  4.832311e-13  4.832304e-13
2010-01-09   4.852635e-13  4.853041e-13   4.851254e-13  4.852742e-13  4.852480e-13  4.852644e-13  4.852636e-13
2010-01-10   4.872927e-13  4.873331e-13   4.871546e-13  4.873037e-13  4.872773e-13  4.872939e-13  4.872927e-13
2010-01-11   4.893169e-13  4.893572e-13   4.891788e-13  4.893283e-13  4.893016e-13  4.893185e-13  4.893169e-13
2010-01-12   4.913349e-13  4.913750e-13   4.911968e-13  4.913469e-13  4.913200e-13  4.913372e-13  4.913349e-13
2010-01-13   4.933457e-13  4.933857e-13   4.932077e-13  4.933584e-13  4.933313e-13  4.933488e-13  4.933457e-13
2010-01-14   4.953483e-13  4.953880e-13   4.952104e-13  4.953617e-13  4.953344e-13  4.953522e-13  4.953483e-13
2010-01-15   4.973415e-13  4.973811e-13   4.972038e-13  4.973556e-13  4.973281e-13  4.973463e-13  4.973415e-13
2010-01-16   4.993244e-13  4.993636e-13   4.991868e-13  4.993393e-13  4.993116e-13  4.993299e-13  4.993244e-13
2010-01-17   5.012958e-13  5.013348e-13   5.011584e-13  5.013114e-13  5.012835e-13  5.013022e-13  5.012958e-13
2010-01-18   5.032547e-13  5.032934e-13   5.031176e-13  5.032710e-13  5.032429e-13  5.032618e-13  5.032547e-13
2010-01-19   5.052001e-13  5.052384e-13   5.050633e-13  5.052170e-13  5.051887e-13  5.052078e-13  5.052001e-13
2010-01-20   5.071310e-13  5.071689e-13   5.069944e-13  5.071483e-13  5.071199e-13  5.071392e-13  5.071310e-13
2010-01-21   5.090463e-13  5.090838e-13   5.089101e-13  5.090640e-13  5.090354e-13  5.090548e-13  5.090463e-13
2010-01-22   5.109450e-13  5.109822e-13   5.108092e-13  5.109630e-13  5.109342e-13  5.109538e-13  5.109450e-13
2010-01-23   5.128263e-13  5.128630e-13   5.126908e-13  5.128443e-13  5.128154e-13  5.128351e-13  5.128263e-13
2010-01-24   5.146890e-13  5.147253e-13   5.145540e-13  5.147070e-13  5.146779e-13  5.146977e-13  5.146890e-13
2010-01-25   5.165323e-13  5.165682e-13   5.163978e-13  5.165502e-13  5.165209e-13  5.165408e-13  5.165324e-13
2010-01-26   5.183553e-13  5.183906e-13   5.182212e-13  5.183728e-13  5.183434e-13  5.183635e-13  5.183553e-13
2010-01-27   5.201571e-13  5.201919e-13   5.200235e-13  5.201740e-13  5.201445e-13  5.201647e-13  5.201571e-13
2010-01-28   5.219367e-13  5.219709e-13   5.218036e-13  5.219530e-13  5.219233e-13  5.219438e-13  5.219367e-13
2010-01-29   5.236933e-13  5.237270e-13   5.235607e-13  5.237090e-13  5.236791e-13  5.236998e-13  5.236933e-13
2010-01-30   5.254260e-13  5.254592e-13   5.252941e-13  5.254410e-13  5.254110e-13  5.254320e-13  5.254260e-13
2010-01-31   5.271341e-13  5.271667e-13   5.270028e-13  5.271484e-13  5.271183e-13  5.271395e-13  5.271341e-13
2010-02-01   5.288168e-13  5.288487e-13   5.286861e-13  5.288304e-13  5.288002e-13  5.288215e-13  5.288168e-13
2010-02-02   5.304732e-13  5.305045e-13   5.303432e-13  5.304863e-13  5.304559e-13  5.304773e-13  5.304732e-13
2010-02-03   5.321026e-13  5.321334e-13   5.319734e-13  5.321153e-13  5.320848e-13  5.321062e-13  5.321026e-13
2010-02-04   5.337044e-13  5.337345e-13   5.335758e-13  5.337167e-13  5.336862e-13  5.337076e-13  5.337044e-13
2010-02-05   5.352778e-13  5.353072e-13   5.351499e-13  5.352899e-13  5.352593e-13  5.352806e-13  5.352778e-13
2010-02-06   5.368221e-13  5.368508e-13   5.366950e-13  5.368342e-13  5.368035e-13  5.368248e-13  5.368221e-13
2010-02-07   5.383366e-13  5.383647e-13   5.382104e-13  5.383489e-13  5.383181e-13  5.383394e-13  5.383366e-13
2010-02-08   5.398209e-13  5.398483e-13   5.396954e-13  5.398334e-13  5.398025e-13  5.398238e-13  5.398209e-13
2010-02-09   5.412741e-13  5.413009e-13   5.411495e-13  5.412870e-13  5.412560e-13  5.412775e-13  5.412742e-13
2010-02-10   5.426959e-13  5.427219e-13   5.425721e-13  5.427092e-13  5.426781e-13  5.426996e-13  5.426959e-13
2010-02-11   5.440856e-13  5.441109e-13   5.439627e-13  5.440994e-13  5.440683e-13  5.440898e-13  5.440856e-13
2010-02-12   5.454427e-13  5.454673e-13   5.453207e-13  5.454571e-13  5.454259e-13  5.454475e-13  5.454427e-13
2010-02-13   5.467666e-13  5.467906e-13   5.466456e-13  5.467816e-13  5.467504e-13  5.467720e-13  5.467666e-13
2010-02-14   5.480570e-13  5.480802e-13   5.479369e-13  5.480726e-13  5.480413e-13  5.480630e-13  5.480570e-13
2010-02-15   5.493133e-13  5.493358e-13   5.491941e-13  5.493295e-13  5.492981e-13  5.493199e-13  5.493134e-13
2010-02-16   5.505352e-13  5.505570e-13   5.504169e-13  5.505519e-13  5.505205e-13  5.505422e-13  5.505352e-13
2010-02-17   5.517221e-13  5.517432e-13   5.516049e-13  5.517394e-13  5.517079e-13  5.517295e-13  5.517221e-13
2010-02-18   5.528738e-13  5.528942e-13   5.527575e-13  5.528915e-13  5.528600e-13  5.528815e-13  5.528738e-13
2010-02-19   5.539898e-13  5.540095e-13   5.538745e-13  5.540078e-13  5.539763e-13  5.539977e-13  5.539898e-13
2010-02-20   5.550698e-13  5.550888e-13   5.549556e-13  5.550881e-13  5.550566e-13  5.550778e-13  5.550698e-13
2010-02-21   5.561135e-13  5.561317e-13   5.560003e-13  5.561320e-13  5.561004e-13  5.561214e-13  5.561135e-13
2010-02-22   5.571206e-13  5.571381e-13   5.570084e-13  5.571391e-13  5.571075e-13  5.571284e-13  5.571206e-13
2010-02-23   5.580907e-13  5.581075e-13   5.579795e-13  5.581092e-13  5.580776e-13  5.580984e-13  5.580907e-13
2010-02-24   5.590237e-13  5.590398e-13   5.589136e-13  5.590421e-13  5.590105e-13  5.590312e-13  5.590237e-13
2010-02-25   5.599192e-13  5.599346e-13   5.598102e-13  5.599374e-13  5.599058e-13  5.599265e-13  5.599192e-13
2010-02-26   5.607771e-13  5.607918e-13   5.606691e-13  5.607951e-13  5.607634e-13  5.607841e-13  5.607771e-13
2010-02-27   5.615971e-13  5.616112e-13   5.614902e-13  5.616148e-13  5.615831e-13  5.616038e-13  5.615971e-13
2010-02-28   5.623790e-13  5.623924e-13   5.622733e-13  5.623964e-13  5.623648e-13  5.623854e-13  5.623790e-13
2010-03-01   5.631227e-13  5.631355e-13   5.630181e-13  5.631398e-13  5.631082e-13  5.631287e-13  5.631227e-13
2010-03-02   5.638281e-13  5.638402e-13   5.637245e-13  5.638449e-13  5.638133e-13  5.638336e-13  5.638281e-13
2010-03-03   5.644949e-13  5.645063e-13   5.643924e-13  5.645115e-13  5.644799e-13  5.645000e-13  5.644949e-13
2010-03-04   5.651230e-13  5.651338e-13   5.650217e-13  5.651395e-13  5.651079e-13  5.651277e-13  5.651230e-13
2010-03-05   5.657123e-13  5.657226e-13   5.656121e-13  5.657288e-13  5.656972e-13  5.657168e-13  5.657123e-13
2010-03-06   5.662628e-13  5.662725e-13   5.661638e-13  5.662792e-13  5.662477e-13  5.662670e-13  5.662628e-13
2010-03-07   5.667744e-13  5.667834e-13   5.666764e-13  5.667908e-13  5.667593e-13  5.667784e-13  5.667744e-13
2010-03-08   5.672469e-13  5.672553e-13   5.671501e-13  5.672635e-13  5.672320e-13  5.672509e-13  5.672469e-13
2010-03-09   5.676803e-13  5.676882e-13   5.675847e-13  5.676971e-13  5.676657e-13  5.676844e-13  5.676803e-13
2010-03-10   5.680747e-13  5.680820e-13   5.679801e-13  5.680917e-13  5.680603e-13  5.680788e-13  5.680747e-13
2010-03-11   5.684298e-13  5.684366e-13   5.683364e-13  5.684471e-13  5.684157e-13  5.684342e-13  5.684298e-13
2010-03-12   5.687459e-13  5.687521e-13   5.686536e-13  5.687634e-13  5.687321e-13  5.687504e-13  5.687459e-13
2010-03-13   5.690227e-13  5.690285e-13   5.689316e-13  5.690406e-13  5.690093e-13  5.690274e-13  5.690227e-13
2010-03-14   5.692604e-13  5.692657e-13   5.691705e-13  5.692786e-13  5.692473e-13  5.692653e-13  5.692604e-13
2010-03-15   5.694590e-13  5.694637e-13   5.693702e-13  5.694774e-13  5.694462e-13  5.694640e-13  5.694590e-13
