            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy   pyspedas
2010-01-01      15.089978  15.098522      15.059911  15.092978  15.087826  15.090832  15.089979
2010-01-02      15.518248  15.526746      15.488386  15.521039  15.515879  15.518940  15.518250
2010-01-03      15.943689  15.952135      15.914033  15.946287  15.941119  15.944227  15.943691
2010-01-04      16.366131  16.374520      16.336683  16.368560  16.363385  16.366531  16.366132
2010-01-05      16.785407  16.793735      16.756171  16.787699  16.782518  16.785692  16.785408
2010-01-06      17.201357  17.209619      17.172333  17.203549  17.198361  17.201558  17.201358
2010-01-07      17.613822  17.622015      17.585014  17.615952  17.610759  17.613974  17.613823
2010-01-08      18.022650  18.030770      17.994060  18.024757  18.019559  18.022792  18.022652
2010-01-09      18.427694  18.435736      18.399322  18.429812  18.424610  18.427863  18.427695
2010-01-10      18.828809  18.836769      18.800658  18.830970  18.825765  18.829042  18.828810
2010-01-11      19.225856  19.233730      19.197928  19.228088  19.222879  19.226184  19.225857
2010-01-12      19.618701  19.626486      19.590998  19.621026  19.615815  19.619151  19.618702
2010-01-13      20.007216  20.014908      19.979738  20.009650  20.004437  20.007805  20.007217
2010-01-14      20.391274  20.398870      20.364023  20.393828  20.388613  20.392015  20.391275
2010-01-15      20.770758  20.778254      20.743735  20.773436  20.768220  20.771654  20.770759
2010-01-16      21.145551  21.152945      21.118758  21.148352  21.143135  21.146600  21.145552
2010-01-17      21.515544  21.522832      21.488982  21.518461  21.513245  21.516734  21.515545
2010-01-18      21.880631  21.887812      21.854301  21.883654  21.878438  21.881948  21.880632
2010-01-19      22.240713  22.247782      22.214615  22.243825  22.238611  22.242135  22.240714
2010-01-20      22.595693  22.602649      22.569829  22.598876  22.593663  22.597195  22.595694
2010-01-21      22.945481  22.952321      22.919851  22.948711  22.943500  22.947037  22.945482
2010-01-22      23.289990  23.296712      23.264595  23.293244  23.288035  23.291572  23.289991
2010-01-23      23.629139  23.635741      23.603979  23.632389  23.627184  23.630719  23.629140
2010-01-24      23.962850  23.969330      23.937926  23.966070  23.960868  23.964403  23.962851
2010-01-25      24.291050  24.297407      24.266362  24.294214  24.289016  24.292553  24.291051
2010-01-26      24.613671  24.619902      24.589219  24.616754  24.611560  24.615104  24.613672
2010-01-27      24.930649  24.936753      24.906433  24.933628  24.928438  24.931995  24.930649
2010-01-28      25.241922  25.247899      25.217943  25.244781  25.239596  25.243172  25.241923
2010-01-29      25.547436  25.553283      25.523693  25.550162  25.544983  25.548579  25.547437
2010-01-30      25.847137  25.852855      25.823630  25.849726  25.844553  25.848169  25.847138
2010-01-31      26.140977  26.146564      26.117707  26.143432  26.138265  26.141894  26.140978
2010-02-01      26.428912  26.434367      26.405877  26.431243  26.426082  26.429715  26.428913
2010-02-02      26.710899  26.716222      26.688100  26.713122  26.707968  26.711596  26.710900
2010-02-03      26.986901  26.992092      26.964337  26.989038  26.983891  26.987505  26.986902
2010-02-04      27.256884  27.261941      27.234554  27.258959  27.253819  27.257414  27.256884
2010-02-05      27.520815  27.525740      27.498719  27.522853  27.517720  27.521296  27.520815
2010-02-06      27.778666  27.783458      27.756803  27.780692  27.775567  27.779125  27.778667
2010-02-07      28.030412  28.035072      28.008782  28.032448  28.027332  28.030876  28.030413
2010-02-08      28.276030  28.280557      28.254632  28.278098  28.272990  28.276523  28.276031
2010-02-09      28.515500  28.519895      28.494333  28.517618  28.512518  28.516044  28.515501
2010-02-10      28.748805  28.753068      28.727867  28.750986  28.745895  28.749417  28.748806
2010-02-11      28.975928  28.980060      28.955220  28.978185  28.973103  28.976622  28.975929
2010-02-12      29.196859  29.200860      29.176379  29.199198  29.194125  29.197641  29.196859
2010-02-13      29.411584  29.415456      29.391331  29.414011  29.408947  29.412459  29.411585
2010-02-14      29.620097  29.623841      29.600070  29.622611  29.617557  29.621061  29.620098
2010-02-15      29.822391  29.826007      29.802589  29.824990  29.819946  29.823437  29.822392
2010-02-16      30.018460  30.021949      29.998882  30.021139  30.016104  30.019577  30.018461
2010-02-17      30.208302  30.211665      30.188946  30.211052  30.206027  30.209476  30.208302
2010-02-18      30.391914  30.395154      30.372780  30.394725  30.389710  30.393131  30.391915
2010-02-19      30.569298  30.572415      30.550383  30.572157  30.567152  30.570541  30.569299
2010-02-20      30.740454  30.743450      30.721758  30.743348  30.738353  30.741708  30.740455
2010-02-21      30.905386  30.908261      30.886906  30.908299  30.903315  30.906636  30.905386
2010-02-22      31.064096  31.066853      31.045832  31.067014  31.062040  31.065331  31.064097
