                 spacepy  spacepy-irbem  spiceypy1  spiceypy2         sunpy      pyspedas  |max-min|
2010-01-01  1.377797e-03  -2.548059e-02  -0.005765  -0.011939  1.371244e-03 -2.750156e-09   0.026858
2010-01-02  1.387932e-03  -2.552657e-02  -0.005652  -0.011848  1.417394e-03 -2.899828e-09   0.026944
2010-01-03  1.399277e-03  -2.556464e-02  -0.005540  -0.011757  1.462957e-03 -3.047976e-09   0.027028
2010-01-04  1.407230e-03  -2.559491e-02  -0.005431  -0.011667  1.501064e-03 -3.194522e-09   0.027096
2010-01-05  1.408483e-03  -2.561750e-02  -0.005326  -0.011581  1.526764e-03 -3.339391e-09   0.027144
2010-01-06  1.401946e-03  -2.563254e-02  -0.005227  -0.011500  1.537897e-03 -3.482370e-09   0.027170
2010-01-07  1.388690e-03  -2.564015e-02  -0.005134  -0.011425  1.534846e-03 -3.623530e-09   0.027175
2010-01-08  1.371188e-03  -2.564042e-02  -0.005049  -0.011355  1.519796e-03 -3.762633e-09   0.027160
2010-01-09  1.352381e-03  -2.563350e-02  -0.004970  -0.011291  1.496020e-03 -3.899640e-09   0.027130
2010-01-10  1.334967e-03  -2.561949e-02  -0.004896  -0.011231  1.466964e-03 -4.034472e-09   0.027086
2010-01-11  1.321008e-03  -2.559851e-02  -0.004828  -0.011176  1.435500e-03 -4.167028e-09   0.027034
2010-01-12  1.311751e-03  -2.557067e-02  -0.004764  -0.011123  1.403863e-03 -4.297252e-09   0.026975
2010-01-13  1.307564e-03  -2.553610e-02  -0.004702  -0.011072  1.373748e-03 -4.425022e-09   0.026910
2010-01-14  1.307969e-03  -2.549491e-02  -0.004641  -0.011022  1.346123e-03 -4.550298e-09   0.026841
2010-01-15  1.311798e-03  -2.544720e-02  -0.004580  -0.010969  1.321235e-03 -4.672987e-09   0.026768
2010-01-16  1.317441e-03  -2.539311e-02  -0.004517  -0.010915  1.298814e-03 -4.793066e-09   0.026711
2010-01-17  1.323110e-03  -2.533274e-02  -0.004452  -0.010857  1.278248e-03 -4.910383e-09   0.026656
2010-01-18  1.327056e-03  -2.526620e-02  -0.004383  -0.010794  1.258872e-03 -5.024276e-09   0.026593
2010-01-19  1.327754e-03  -2.519362e-02  -0.004309  -0.010725  1.240202e-03 -5.136652e-09   0.026521
2010-01-20  1.324102e-03  -2.511510e-02  -0.004230  -0.010649  1.221979e-03 -5.245521e-09   0.026439
2010-01-21  1.315609e-03  -2.503076e-02  -0.004144  -0.010566  1.204306e-03 -5.351392e-09   0.026346
2010-01-22  1.302500e-03  -2.494070e-02  -0.004051  -0.010476  1.187769e-03 -5.454272e-09   0.026243
2010-01-23  1.285732e-03  -2.484505e-02  -0.003952  -0.010378  1.173471e-03 -5.554146e-09   0.026131
2010-01-24  1.266980e-03  -2.474392e-02  -0.003846  -0.010272  1.163021e-03 -5.650893e-09   0.026011
2010-01-25  1.248605e-03  -2.463740e-02  -0.003734  -0.010160  1.158515e-03 -5.744461e-09   0.025886
2010-01-26  1.233481e-03  -2.452563e-02  -0.003617  -0.010040  1.162181e-03 -5.834924e-09   0.025759
2010-01-27  1.224396e-03  -2.440870e-02  -0.003495  -0.009916  1.175619e-03 -5.922104e-09   0.025633
2010-01-28  1.223040e-03  -2.428673e-02  -0.003369  -0.009787  1.198987e-03 -6.006132e-09   0.025510
2010-01-29  1.228975e-03  -2.415983e-02  -0.003243  -0.009655  1.230272e-03 -6.086822e-09   0.025390
2010-01-30  1.239284e-03  -2.402810e-02  -0.003116  -0.009523  1.265049e-03 -6.164242e-09   0.025293
2010-01-31  1.249354e-03  -2.389166e-02  -0.002991  -0.009392  1.297152e-03 -6.238317e-09   0.025189
2010-02-01  1.254542e-03  -2.375061e-02  -0.002870  -0.009263  1.320432e-03 -6.309037e-09   0.025071
2010-02-02  1.251894e-03  -2.360506e-02  -0.002753  -0.009138  1.330818e-03 -6.376368e-09   0.024936
2010-02-03  1.241038e-03  -2.345513e-02  -0.002641  -0.009017  1.327307e-03 -6.440317e-09   0.024782
2010-02-04  1.223908e-03  -2.330091e-02  -0.002535  -0.008901  1.311692e-03 -6.500869e-09   0.024613
2010-02-05  1.203674e-03  -2.314251e-02  -0.002434  -0.008788  1.287471e-03 -6.557990e-09   0.024430
2010-02-06  1.183563e-03  -2.298005e-02  -0.002337  -0.008679  1.258384e-03 -6.611252e-09   0.024238
2010-02-07  1.166112e-03  -2.281362e-02  -0.002244  -0.008573  1.227724e-03 -6.661956e-09   0.024041
2010-02-08  1.152910e-03  -2.264333e-02  -0.002153  -0.008469  1.198056e-03 -6.708774e-09   0.023841
2010-02-09  1.144644e-03  -2.246929e-02  -0.002065  -0.008366  1.170986e-03 -6.752131e-09   0.023640
2010-02-10  1.141192e-03  -2.229160e-02  -0.001977  -0.008263  1.147390e-03 -6.792078e-09   0.023439
2010-02-11  1.141726e-03  -2.211037e-02  -0.001890  -0.008159  1.127497e-03 -6.828557e-09   0.023252
2010-02-12  1.144866e-03  -2.192569e-02  -0.001801  -0.008053  1.110829e-03 -6.861590e-09   0.023071
2010-02-13  1.148905e-03  -2.173768e-02  -0.001711  -0.007944  1.096392e-03 -6.891177e-09   0.022887
2010-02-14  1.152059e-03  -2.154643e-02  -0.001618  -0.007832  1.083039e-03 -6.917375e-09   0.022698
2010-02-15  1.152669e-03  -2.135204e-02  -0.001522  -0.007716  1.069696e-03 -6.940120e-09   0.022505
2010-02-16  1.149377e-03  -2.115463e-02  -0.001422  -0.007595  1.055445e-03 -6.959468e-09   0.022304
2010-02-17  1.141310e-03  -2.095428e-02  -0.001319  -0.007470  1.039808e-03 -6.975455e-09   0.022096
2010-02-18  1.128281e-03  -2.075111e-02  -0.001212  -0.007340  1.022843e-03 -6.988003e-09   0.021879
2010-02-19  1.110901e-03  -2.054521e-02  -0.001101  -0.007206  1.005141e-03 -6.997233e-09   0.021656
2010-02-20  1.090559e-03  -2.033667e-02  -0.000986  -0.007067  9.879663e-04 -7.003159e-09   0.021427
2010-02-21  1.069278e-03  -2.012561e-02  -0.000868  -0.006923  9.730600e-04 -7.005710e-09   0.021195
2010-02-22  1.049513e-03  -1.991211e-02  -0.000747  -0.006776  9.623468e-04 -7.004992e-09   0.020962
2010-02-23  1.033837e-03  -1.969628e-02  -0.000625  -0.006626  9.576703e-04 -7.000999e-09   0.020730
2010-02-24  1.024390e-03  -1.947822e-02  -0.000500  -0.006474  9.603272e-04 -6.993758e-09   0.020503
2010-02-25  1.022077e-03  -1.925802e-02  -0.000375  -0.006320  9.703825e-04 -6.983235e-09   0.020280
2010-02-26  1.025831e-03  -1.903577e-02  -0.000251  -0.006166  9.859221e-04 -6.969742e-09   0.020062
2010-02-27  1.032472e-03  -1.881158e-02  -0.000128  -0.006012  1.002948e-03 -6.952966e-09   0.019844
2010-02-28  1.037510e-03  -1.858554e-02  -0.000007  -0.005860  1.016276e-03 -6.933099e-09   0.019623
2010-03-01  1.036705e-03  -1.835775e-02   0.000112  -0.005709  1.021009e-03 -6.910170e-09   0.019394
2010-03-02  1.027649e-03  -1.812829e-02   0.000227  -0.005561  1.014327e-03 -6.884150e-09   0.019156
2010-03-03  1.010540e-03  -1.789727e-02   0.000339  -0.005415  9.964539e-04 -6.855153e-09   0.018908
2010-03-04  9.878282e-04  -1.766478e-02   0.000449  -0.005271  9.701346e-04 -6.823200e-09   0.018653
2010-03-05  9.630412e-04  -1.743091e-02   0.000555  -0.005128  9.392278e-04 -6.788305e-09   0.018394
2010-03-06  9.395236e-04  -1.719575e-02   0.000660  -0.004987  9.076284e-04 -6.750561e-09   0.018135
2010-03-07  9.196478e-04  -1.695940e-02   0.000764  -0.004846  8.784111e-04 -6.709953e-09   0.017879
2010-03-08  9.046266e-04  -1.672194e-02   0.000867  -0.004705  8.533860e-04 -6.666561e-09   0.017627
2010-03-09  8.946802e-04  -1.648347e-02   0.000969  -0.004564  8.333240e-04 -6.620411e-09   0.017453
