            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   5.874769e-13  5.875047e-13   5.872521e-13  5.874430e-13  5.873924e-13  5.874923e-13  5.874769e-13
2010-01-02   5.890221e-13  5.890494e-13   5.887978e-13  5.889882e-13  5.889374e-13  5.890374e-13  5.890221e-13
2010-01-03   5.905322e-13  5.905589e-13   5.903083e-13  5.904982e-13  5.904473e-13  5.905473e-13  5.905322e-13
2010-01-04   5.920065e-13  5.920325e-13   5.917832e-13  5.919726e-13  5.919214e-13  5.920215e-13  5.920065e-13
2010-01-05   5.934445e-13  5.934699e-13   5.932217e-13  5.934107e-13  5.933593e-13  5.934594e-13  5.934445e-13
2010-01-06   5.948457e-13  5.948704e-13   5.946235e-13  5.948120e-13  5.947605e-13  5.948605e-13  5.948457e-13
2010-01-07   5.962096e-13  5.962335e-13   5.959880e-13  5.961760e-13  5.961244e-13  5.962242e-13  5.962096e-13
2010-01-08   5.975358e-13  5.975587e-13   5.973148e-13  5.975023e-13  5.974505e-13  5.975501e-13  5.975358e-13
2010-01-09   5.988236e-13  5.988457e-13   5.986033e-13  5.987902e-13  5.987383e-13  5.988376e-13  5.988236e-13
2010-01-10   6.000727e-13  6.000939e-13   5.998530e-13  6.000394e-13  5.999873e-13  6.000865e-13  6.000727e-13
2010-01-11   6.012826e-13  6.013029e-13   6.010636e-13  6.012494e-13  6.011972e-13  6.012961e-13  6.012826e-13
2010-01-12   6.024528e-13  6.024724e-13   6.022346e-13  6.024197e-13  6.023673e-13  6.024661e-13  6.024528e-13
2010-01-13   6.035830e-13  6.036017e-13   6.033655e-13  6.035499e-13  6.034974e-13  6.035960e-13  6.035830e-13
2010-01-14   6.046727e-13  6.046907e-13   6.044559e-13  6.046396e-13  6.045870e-13  6.046855e-13  6.046727e-13
2010-01-15   6.057215e-13  6.057388e-13   6.055056e-13  6.056885e-13  6.056357e-13  6.057340e-13  6.057215e-13
2010-01-16   6.067291e-13  6.067456e-13   6.065140e-13  6.066960e-13  6.066432e-13  6.067414e-13  6.067291e-13
2010-01-17   6.076951e-13  6.077108e-13   6.074808e-13  6.076620e-13  6.076090e-13  6.077071e-13  6.076951e-13
2010-01-18   6.086191e-13  6.086341e-13   6.084057e-13  6.085860e-13  6.085329e-13  6.086308e-13  6.086191e-13
2010-01-19   6.095009e-13  6.095151e-13   6.092883e-13  6.094677e-13  6.094145e-13  6.095122e-13  6.095009e-13
2010-01-20   6.103400e-13  6.103534e-13   6.101284e-13  6.103068e-13  6.102535e-13  6.103510e-13  6.103400e-13
2010-01-21   6.111363e-13  6.111487e-13   6.109256e-13  6.111031e-13  6.110497e-13  6.111468e-13  6.111363e-13
2010-01-22   6.118894e-13  6.119009e-13   6.116796e-13  6.118562e-13  6.118027e-13  6.118995e-13  6.118894e-13
2010-01-23   6.125990e-13  6.126096e-13   6.123902e-13  6.125659e-13  6.125124e-13  6.126087e-13  6.125990e-13
2010-01-24   6.132649e-13  6.132746e-13   6.130572e-13  6.132320e-13  6.131784e-13  6.132743e-13  6.132649e-13
2010-01-25   6.138870e-13  6.138957e-13   6.136802e-13  6.138543e-13  6.138005e-13  6.138961e-13  6.138870e-13
2010-01-26   6.144649e-13  6.144726e-13   6.142592e-13  6.144325e-13  6.143786e-13  6.144737e-13  6.144649e-13
2010-01-27   6.149985e-13  6.150053e-13   6.147938e-13  6.149664e-13  6.149125e-13  6.150072e-13  6.149985e-13
2010-01-28   6.154875e-13  6.154936e-13   6.152840e-13  6.154559e-13  6.154019e-13  6.154963e-13  6.154875e-13
2010-01-29   6.159320e-13  6.159372e-13   6.157295e-13  6.159007e-13  6.158467e-13  6.159408e-13  6.159320e-13
2010-01-30   6.163315e-13  6.163361e-13   6.161302e-13  6.163008e-13  6.162468e-13  6.163406e-13  6.163315e-13
2010-01-31   6.166862e-13  6.166900e-13   6.164860e-13  6.166560e-13  6.166019e-13  6.166954e-13  6.166862e-13
2010-02-01   6.169958e-13  6.169989e-13   6.167968e-13  6.169661e-13  6.169120e-13  6.170052e-13  6.169958e-13
2010-02-02   6.172602e-13  6.172625e-13   6.170625e-13  6.172311e-13  6.171769e-13  6.172697e-13  6.172602e-13
2010-02-03   6.174795e-13  6.174809e-13   6.172829e-13  6.174508e-13  6.173966e-13  6.174889e-13  6.174795e-13
2010-02-04   6.176534e-13  6.176540e-13   6.174581e-13  6.176251e-13  6.175709e-13  6.176627e-13  6.176534e-13
2010-02-05   6.177820e-13  6.177817e-13   6.175880e-13  6.177541e-13  6.176998e-13  6.177910e-13  6.177820e-13
2010-02-06   6.178653e-13  6.178640e-13   6.176725e-13  6.178376e-13  6.177833e-13  6.178739e-13  6.178653e-13
2010-02-07   6.179033e-13  6.179011e-13   6.177118e-13  6.178757e-13  6.178214e-13  6.179115e-13  6.179033e-13
2010-02-08   6.178959e-13  6.178929e-13   6.177057e-13  6.178684e-13  6.178141e-13  6.179036e-13  6.178959e-13
2010-02-09   6.178432e-13  6.178394e-13   6.176543e-13  6.178157e-13  6.177614e-13  6.178503e-13  6.178432e-13
2010-02-10   6.177452e-13  6.177406e-13   6.175577e-13  6.177177e-13  6.176634e-13  6.177518e-13  6.177452e-13
2010-02-11   6.176020e-13  6.175968e-13   6.174159e-13  6.175744e-13  6.175201e-13  6.176080e-13  6.176020e-13
2010-02-12   6.174137e-13  6.174078e-13   6.172290e-13  6.173859e-13  6.173316e-13  6.174191e-13  6.174137e-13
2010-02-13   6.171804e-13  6.171739e-13   6.169970e-13  6.171524e-13  6.170981e-13  6.171852e-13  6.171804e-13
2010-02-14   6.169022e-13  6.168951e-13   6.167202e-13  6.168739e-13  6.168197e-13  6.169063e-13  6.169022e-13
2010-02-15   6.165792e-13  6.165715e-13   6.163987e-13  6.165507e-13  6.164965e-13  6.165825e-13  6.165792e-13
2010-02-16   6.162116e-13  6.162032e-13   6.160325e-13  6.161828e-13  6.161286e-13  6.162142e-13  6.162115e-13
2010-02-17   6.157995e-13  6.157905e-13   6.156218e-13  6.157705e-13  6.157164e-13  6.158014e-13  6.157994e-13
2010-02-18   6.153431e-13  6.153334e-13   6.151669e-13  6.153140e-13  6.152599e-13  6.153443e-13  6.153431e-13
2010-02-19   6.148426e-13  6.148323e-13   6.146679e-13  6.148135e-13  6.147594e-13  6.148431e-13  6.148426e-13
2010-02-20   6.142982e-13  6.142872e-13   6.141251e-13  6.142692e-13  6.142151e-13  6.142982e-13  6.142982e-13
2010-02-21   6.137102e-13  6.136985e-13   6.135386e-13  6.136813e-13  6.136273e-13  6.137096e-13  6.137102e-13
2010-02-22   6.130788e-13  6.130664e-13   6.129087e-13  6.130502e-13  6.129963e-13  6.130778e-13  6.130788e-13
2010-02-23   6.124043e-13  6.123913e-13   6.122357e-13  6.123760e-13  6.123222e-13  6.124030e-13  6.124043e-13
2010-02-24   6.116869e-13  6.116733e-13   6.115198e-13  6.116592e-13  6.116054e-13  6.116855e-13  6.116869e-13
2010-02-25   6.109269e-13  6.109128e-13   6.107614e-13  6.108998e-13  6.108461e-13  6.109257e-13  6.109269e-13
2010-02-26   6.101246e-13  6.101101e-13   6.099607e-13  6.100983e-13  6.100447e-13  6.101237e-13  6.101246e-13
2010-02-27   6.092804e-13  6.092655e-13   6.091181e-13  6.092550e-13  6.092015e-13  6.092799e-13  6.092804e-13
2010-02-28   6.083946e-13  6.083794e-13   6.082338e-13  6.083701e-13  6.083166e-13  6.083945e-13  6.083946e-13
2010-03-01   6.074675e-13  6.074519e-13   6.073084e-13  6.074440e-13  6.073906e-13  6.074679e-13  6.074675e-13
2010-03-02   6.064995e-13  6.064836e-13   6.063420e-13  6.064769e-13  6.064236e-13  6.065003e-13  6.064995e-13
2010-03-03   6.054910e-13  6.054746e-13   6.053351e-13  6.054693e-13  6.054161e-13  6.054921e-13  6.054910e-13
2010-03-04   6.044424e-13  6.044255e-13   6.042881e-13  6.044214e-13  6.043683e-13  6.044436e-13  6.044424e-13
2010-03-05   6.033540e-13  6.033367e-13   6.032014e-13  6.033337e-13  6.032808e-13  6.033552e-13  6.033540e-13
2010-03-06   6.022263e-13  6.022086e-13   6.020753e-13  6.022066e-13  6.021537e-13  6.022273e-13  6.022263e-13
2010-03-07   6.010598e-13  6.010417e-13   6.009105e-13  6.010405e-13  6.009877e-13  6.010605e-13  6.010598e-13
2010-03-08   5.998549e-13  5.998364e-13   5.997072e-13  5.998357e-13  5.997831e-13  5.998552e-13  5.998549e-13
2010-03-09   5.986120e-13  5.985932e-13   5.984659e-13  5.985929e-13  5.985404e-13  5.986117e-13  5.986120e-13
2010-03-10   5.973316e-13  5.973125e-13   5.971871e-13  5.973124e-13  5.972600e-13  5.973307e-13  5.973315e-13
2010-03-11   5.960141e-13  5.959949e-13   5.958714e-13  5.959948e-13  5.959425e-13  5.960126e-13  5.960141e-13
2010-03-12   5.946602e-13  5.946408e-13   5.945191e-13  5.946406e-13  5.945884e-13  5.946578e-13  5.946602e-13
2010-03-13   5.932702e-13  5.932507e-13   5.931308e-13  5.932502e-13  5.931982e-13  5.932670e-13  5.932702e-13
2010-03-14   5.918448e-13  5.918252e-13   5.917070e-13  5.918243e-13  5.917724e-13  5.918406e-13  5.918448e-13
2010-03-15   5.903843e-13  5.903647e-13   5.902483e-13  5.903633e-13  5.903116e-13  5.903791e-13  5.903843e-13
2010-03-16   5.888895e-13  5.888697e-13   5.887551e-13  5.888679e-13  5.888163e-13  5.888832e-13  5.888895e-13
2010-03-17   5.873607e-13  5.873409e-13   5.872280e-13  5.873386e-13  5.872872e-13  5.873534e-13  5.873607e-13
2010-03-18   5.857987e-13  5.857787e-13   5.856676e-13  5.857760e-13  5.857248e-13  5.857902e-13  5.857987e-13
2010-03-19   5.842038e-13  5.841837e-13   5.840745e-13  5.841808e-13  5.841297e-13  5.841943e-13  5.842038e-13
2010-03-20   5.825768e-13  5.825566e-13   5.824491e-13  5.825535e-13  5.825025e-13  5.825664e-13  5.825768e-13
2010-03-21   5.809182e-13  5.808978e-13   5.807922e-13  5.808947e-13  5.808439e-13  5.809069e-13  5.809182e-13
2010-03-22   5.792286e-13  5.792081e-13   5.791043e-13  5.792050e-13  5.791544e-13  5.792166e-13  5.792286e-13
