            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy   pyspedas
2010-01-01      29.439401  29.440778      29.413920  29.433636  29.427462  29.440772  29.439401
2010-01-02      29.560194  29.561582      29.534668  29.554542  29.548346  29.561612  29.560194
2010-01-03      29.679381  29.680781      29.653817  29.673841  29.667625  29.680844  29.679381
2010-01-04      29.796945  29.798352      29.771350  29.791514  29.785277  29.798446  29.796945
2010-01-05      29.912867  29.914276      29.887250  29.907542  29.901286  29.914394  29.912867
2010-01-06      30.027134  30.028536      30.001501  30.021907  30.015633  30.028671  30.027134
2010-01-07      30.139727  30.141116      30.114087  30.134593  30.128302  30.141262  30.139727
2010-01-08      30.250632  30.252003      30.224991  30.245583  30.239277  30.252151  30.250632
2010-01-09      30.359833  30.361185      30.334199  30.354863  30.348542  30.361329  30.359833
2010-01-10      30.467314  30.468649      30.441695  30.462418  30.456083  30.468781  30.467314
2010-01-11      30.573062  30.574383      30.547463  30.568234  30.561886  30.574497  30.573062
2010-01-12      30.677061  30.678373      30.651491  30.672298  30.665938  30.678465  30.677061
2010-01-13      30.779298  30.780605      30.753762  30.774596  30.768225  30.780672  30.779298
2010-01-14      30.879758  30.881066      30.854263  30.875117  30.868736  30.881104  30.879758
2010-01-15      30.978427  30.979739      30.952980  30.973847  30.967458  30.979749  30.978427
2010-01-16      31.075293  31.076611      31.049900  31.070776  31.064378  31.076592  31.075293
2010-01-17      31.170342  31.171665      31.145010  31.165890  31.159486  31.171621  31.170342
2010-01-18      31.263562  31.264889      31.238296  31.259179  31.252768  31.264821  31.263562
2010-01-19      31.354939  31.356267      31.329746  31.350630  31.344215  31.356180  31.354939
2010-01-20      31.444463  31.445787      31.419347  31.440233  31.433813  31.445685  31.444463
2010-01-21      31.532120  31.533435      31.507089  31.527976  31.521553  31.533324  31.532120
2010-01-22      31.617899  31.619201      31.592958  31.613847  31.607423  31.619086  31.617899
2010-01-23      31.701788  31.703074      31.676943  31.697836  31.691410  31.702962  31.701788
2010-01-24      31.783778  31.785045      31.759034  31.779931  31.773505  31.784941  31.783778
2010-01-25      31.863856  31.865105      31.839219  31.860122  31.853697  31.865015  31.863856
2010-01-26      31.942013  31.943246      31.917487  31.938396  31.931972  31.943175  31.942013
2010-01-27      32.018237  32.019462      31.993829  32.014743  32.008322  32.019413  32.018237
2010-01-28      32.092520  32.093743      32.068233  32.089150  32.082733  32.093719  32.092520
