             spacepy  spacepy-irbem  spiceypy1  spiceypy2         sunpy      pyspedas  |max-min|
2010-01-01 -0.004415      -0.013059  -0.008488  -0.012864  1.135015e-03 -7.205256e-07   0.014194
2010-01-02 -0.004584      -0.012940  -0.008355  -0.012721  1.283833e-03 -7.406046e-07   0.014223
2010-01-03 -0.004746      -0.012822  -0.008224  -0.012582  1.434201e-03 -7.605109e-07   0.014256
2010-01-04 -0.004906      -0.012706  -0.008106  -0.012455  1.573210e-03 -7.802413e-07   0.014279
2010-01-05 -0.005066      -0.012592  -0.008008  -0.012348  1.689015e-03 -7.997780e-07   0.014281
2010-01-06 -0.005229      -0.012480  -0.007936  -0.012268  1.772675e-03 -8.191182e-07   0.014253
2010-01-07 -0.005395      -0.012370  -0.007895  -0.012218  1.818812e-03 -8.382548e-07   0.014189
2010-01-08 -0.005565      -0.012262  -0.007887  -0.012203  1.825510e-03 -8.571807e-07   0.014088
2010-01-09 -0.005736      -0.012157  -0.007914  -0.012222  1.793873e-03 -8.758892e-07   0.014016
2010-01-10 -0.005906      -0.012053  -0.007974  -0.012275  1.727055e-03 -8.943742e-07   0.014002
2010-01-11 -0.006071      -0.011951  -0.008065  -0.012359  1.629390e-03 -9.126294e-07   0.013988
2010-01-12 -0.006232      -0.011852  -0.008183  -0.012471  1.506051e-03 -9.306493e-07   0.013977
2010-01-13 -0.006385      -0.011754  -0.008325  -0.012606  1.362917e-03 -9.484284e-07   0.013969
2010-01-14 -0.006531      -0.011659  -0.008484  -0.012759  1.206076e-03 -9.659619e-07   0.013965
2010-01-15 -0.006668      -0.011565  -0.008655  -0.012924  1.041497e-03 -9.832447e-07   0.013965
2010-01-16 -0.006798      -0.011474  -0.008831  -0.013094  8.749640e-04 -1.000273e-06   0.013969
2010-01-17 -0.006922      -0.011385  -0.009006  -0.013264  7.119378e-04 -1.017041e-06   0.013976
2010-01-18 -0.007040      -0.011298  -0.009173  -0.013426  5.576877e-04 -1.033546e-06   0.013984
2010-01-19 -0.007153      -0.011213  -0.009325  -0.013574  4.172549e-04 -1.049787e-06   0.013991
2010-01-20 -0.007265      -0.011130  -0.009457  -0.013702  2.953648e-04 -1.065757e-06   0.013997
2010-01-21 -0.007375      -0.011049  -0.009562  -0.013803  1.964314e-04 -1.081454e-06   0.014000
2010-01-22 -0.007486      -0.010969  -0.009636  -0.013873  1.245308e-04 -1.096876e-06   0.013998
2010-01-23 -0.007596      -0.010892  -0.009673  -0.013908  8.346651e-05 -1.112020e-06   0.013991
2010-01-24 -0.007707      -0.010817  -0.009671  -0.013902  7.675892e-05 -1.126885e-06   0.013979
2010-01-25 -0.007818      -0.010744  -0.009627  -0.013856  1.074140e-04 -1.141468e-06   0.013963
2010-01-26 -0.007926      -0.010672  -0.009541  -0.013768  1.774458e-04 -1.155768e-06   0.013945
2010-01-27 -0.008030      -0.010603  -0.009415  -0.013641  2.873409e-04 -1.169782e-06   0.013928
2010-01-28 -0.008125      -0.010535  -0.009254  -0.013479  4.351941e-04 -1.183511e-06   0.013914
2010-01-29 -0.008209      -0.010469  -0.009067  -0.013290  6.157982e-04 -1.196953e-06   0.013906
2010-01-30 -0.008280      -0.010404  -0.008862  -0.013085  8.199507e-04 -1.210108e-06   0.013905
2010-01-31 -0.008341      -0.010342  -0.008654  -0.012876  1.034091e-03 -1.222974e-06   0.013910
2010-02-01 -0.008395      -0.010280  -0.008454  -0.012676  1.241863e-03 -1.235551e-06   0.013918
2010-02-02 -0.008445      -0.010221  -0.008275  -0.012498  1.427182e-03 -1.247840e-06   0.013925
