            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   2.619426e-13  2.619337e-13   2.619049e-13  2.619181e-13  2.619055e-13  2.619459e-13  2.619426e-13
2010-01-02   2.616478e-13  2.616385e-13   2.616106e-13  2.616238e-13  2.616112e-13  2.616515e-13  2.616478e-13
2010-01-03   2.613327e-13  2.613230e-13   2.612959e-13  2.613091e-13  2.612966e-13  2.613368e-13  2.613327e-13
2010-01-04   2.609976e-13  2.609875e-13   2.609612e-13  2.609744e-13  2.609619e-13  2.610021e-13  2.609976e-13
2010-01-05   2.606429e-13  2.606323e-13   2.606069e-13  2.606200e-13  2.606075e-13  2.606477e-13  2.606429e-13
2010-01-06   2.602688e-13  2.602578e-13   2.602332e-13  2.602461e-13  2.602338e-13  2.602738e-13  2.602688e-13
2010-01-07   2.598757e-13  2.598643e-13   2.598405e-13  2.598533e-13  2.598409e-13  2.598809e-13  2.598757e-13
2010-01-08   2.594641e-13  2.594522e-13   2.594293e-13  2.594417e-13  2.594294e-13  2.594693e-13  2.594641e-13
2010-01-09   2.590342e-13  2.590219e-13   2.589998e-13  2.590118e-13  2.589996e-13  2.590393e-13  2.590342e-13
2010-01-10   2.585865e-13  2.585737e-13   2.585525e-13  2.585640e-13  2.585519e-13  2.585914e-13  2.585865e-13
2010-01-11   2.581214e-13  2.581082e-13   2.580878e-13  2.580987e-13  2.580866e-13  2.581260e-13  2.581214e-13
2010-01-12   2.576393e-13  2.576257e-13   2.576061e-13  2.576164e-13  2.576043e-13  2.576435e-13  2.576393e-13
2010-01-13   2.571406e-13  2.571267e-13   2.571078e-13  2.571174e-13  2.571054e-13  2.571445e-13  2.571406e-13
2010-01-14   2.566258e-13  2.566116e-13   2.565933e-13  2.566022e-13  2.565903e-13  2.566292e-13  2.566258e-13
2010-01-15   2.560953e-13  2.560807e-13   2.560632e-13  2.560713e-13  2.560594e-13  2.560982e-13  2.560953e-13
2010-01-16   2.555495e-13  2.555347e-13   2.555178e-13  2.555251e-13  2.555133e-13  2.555520e-13  2.555495e-13
2010-01-17   2.549890e-13  2.549738e-13   2.549576e-13  2.549641e-13  2.549524e-13  2.549909e-13  2.549890e-13
2010-01-18   2.544140e-13  2.543987e-13   2.543830e-13  2.543889e-13  2.543772e-13  2.544156e-13  2.544140e-13
2010-01-19   2.538253e-13  2.538096e-13   2.537946e-13  2.537998e-13  2.537882e-13  2.538264e-13  2.538253e-13
2010-01-20   2.532231e-13  2.532072e-13   2.531928e-13  2.531973e-13  2.531858e-13  2.532239e-13  2.532230e-13
2010-01-21   2.526079e-13  2.525918e-13   2.525780e-13  2.525820e-13  2.525705e-13  2.526084e-13  2.526079e-13
2010-01-22   2.519803e-13  2.519639e-13   2.519507e-13  2.519543e-13  2.519429e-13  2.519806e-13  2.519803e-13
2010-01-23   2.513407e-13  2.513241e-13   2.513114e-13  2.513147e-13  2.513033e-13  2.513409e-13  2.513407e-13
2010-01-24   2.506896e-13  2.506727e-13   2.506606e-13  2.506637e-13  2.506524e-13  2.506898e-13  2.506896e-13
2010-01-25   2.500274e-13  2.500103e-13   2.499988e-13  2.500018e-13  2.499905e-13  2.500277e-13  2.500274e-13
2010-01-26   2.493547e-13  2.493374e-13   2.493264e-13  2.493294e-13  2.493182e-13  2.493551e-13  2.493546e-13
2010-01-27   2.486718e-13  2.486544e-13   2.486439e-13  2.486470e-13  2.486359e-13  2.486726e-13  2.486718e-13
