            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy   pyspedas
2010-01-01      25.580722  25.576307      25.567662  25.572234  25.567858  25.581857  25.580721
2010-01-02      25.478433  25.473849      25.465494  25.470079  25.465712  25.479717  25.478432
2010-01-03      25.368885  25.364139      25.356063  25.360661  25.356303  25.370319  25.368884
2010-01-04      25.252143  25.247237      25.239437  25.244037  25.239688  25.253716  25.252142
2010-01-05      25.128275  25.123209      25.115683  25.120268  25.115927  25.129964  25.128274
2010-01-06      24.997353  24.992125      24.984873  24.989418  24.985086  24.999126  24.997352
2010-01-07      24.859452  24.854056      24.847082  24.851557  24.847233  24.861271  24.859451
2010-01-08      24.714648  24.709083      24.702386  24.706761  24.702445  24.716474  24.714647
2010-01-09      24.563022  24.557286      24.550866  24.555109  24.550800  24.564816  24.563022
2010-01-10      24.404657  24.398751      24.392604  24.396683  24.392382  24.406384  24.404656
2010-01-11      24.239637  24.233565      24.227685  24.231572  24.227278  24.241266  24.239636
2010-01-12      24.068049  24.061817      24.056197  24.059865  24.055578  24.069555  24.068048
2010-01-13      23.889983  23.883598      23.878229  23.881658  23.877377  23.891346  23.889982
2010-01-14      23.705531  23.699000      23.693872  23.697047  23.692772  23.706737  23.705530
2010-01-15      23.514785  23.508117      23.503220  23.506131  23.501862  23.515827  23.514784
2010-01-16      23.317843  23.311044      23.306368  23.309012  23.304748  23.318717  23.317842
2010-01-17      23.114799  23.107877      23.103414  23.105793  23.101535  23.115511  23.114798
2010-01-18      22.905753  22.898714      22.894456  22.896581  22.892327  22.906311  22.905752
2010-01-19      22.690806  22.683652      22.679593  22.681481  22.677232  22.691223  22.690805
2010-01-20      22.470058  22.462793      22.458928  22.460601  22.456356  22.470353  22.470057
2010-01-21      22.243612  22.236236      22.232563  22.234049  22.229808  22.243808  22.243611
2010-01-22      22.011572  22.004086      22.000602  22.001936  21.997698  22.011696  22.011570
2010-01-23      21.774042  21.766446      21.763150  21.764369  21.760134  21.774125  21.774041
2010-01-24      21.531129  21.523421      21.520312  21.521458  21.517226  21.531205  21.531128
2010-01-25      21.282938  21.275120      21.272195  21.273311  21.269082  21.283046  21.282937
2010-01-26      21.029578  21.021651      21.018906  21.020037  21.015810  21.029755  21.029577
2010-01-27      20.771155  20.763126      20.760553  20.761740  20.757515  20.771443  20.771154
2010-01-28      20.507779  20.499654      20.497244  20.498524  20.494300  20.508214  20.507778
2010-01-29      20.239557  20.231349      20.229089  20.230491  20.226268  20.240173  20.239556
2010-01-30      19.966600  19.958320      19.956196  19.957738  19.953515  19.967420  19.966599
2010-01-31      19.689016  19.680674      19.678674  19.680362  19.676140  19.690050  19.689015
2010-02-01      19.406915  19.398520      19.396634  19.398461  19.394238  19.408157  19.406913
2010-02-02      19.120406  19.111961      19.110185  19.112131  19.107908  19.121833  19.120405
2010-02-03      18.829600  18.821106      18.819437  18.821472  18.817249  18.831176  18.829598
2010-02-04      18.534605  18.526061      18.524498  18.526587  18.522362  18.536287  18.534604
2010-02-05      18.235532  18.226937      18.225480  18.227580  18.223354  18.237270  18.235530
2010-02-06      17.932489  17.923844      17.922492  17.924560  17.920332  17.934235  17.932488
2010-02-07      17.625587  17.616894      17.615641  17.617634  17.613404  17.627293  17.625585
2010-02-08      17.314933  17.306198      17.305039  17.306915  17.302683  17.316557  17.314932
2010-02-09      17.000637  16.991865      16.990792  16.992515  16.988280  17.002142  17.000635
2010-02-10      16.682806  16.674006      16.673010  16.674547  16.670308  16.684160  16.682805
2010-02-11      16.361549  16.352728      16.351801  16.353123  16.348881  16.362727  16.361548
2010-02-12      16.036973  16.028141      16.027271  16.028359  16.024113  16.037958  16.036971
2010-02-13      15.709184  15.700349      15.699528  15.700368  15.696118  15.709964  15.709183
2010-02-14      15.378290  15.369460      15.368678  15.369264  15.365010  15.378860  15.378288
2010-02-15      15.044396  15.035577      15.034827  15.035161  15.030902  15.044759  15.044394
2010-02-16      14.707606  14.698804      14.698081  14.698172  14.693909  14.707772  14.707605
2010-02-17      14.368027  14.359245      14.358544  14.358410  14.354141  14.368010  14.368026
2010-02-18      14.025762  14.017002      14.016320  14.015986  14.011712  14.025584  14.025761
2010-02-19      13.680915  13.672176      13.671513  13.671012  13.666732  13.680602  13.680914
2010-02-20      13.333588  13.324870      13.324226  13.323595  13.319310  13.333174  13.333586
2010-02-21      12.983883  12.975186      12.974561  12.973844  12.969553  12.983406  12.983882
2010-02-22      12.631903  12.623226      12.622619  12.621864  12.617566  12.631405  12.631901
2010-02-23      12.277747  12.269092      12.268502  12.267758  12.263453  12.277273  12.277746
